city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
安康,47.0,21.0,46.0,0.6,13.0,67.0,28.0,10.0
鞍山,15.0,9.0,14.0,0.8,13.0,37.0,27.0,7.0
阿里地区,37.0,1.0,8.0,0.4,23.0,68.0,72.0,8.0
阿坝州,29.0,11.0,28.0,0.3,6.0,73.0,50.0,8.0
安阳,53.0,19.0,54.0,2.02,31.0,55.0,51.0,12.0
安顺,36.0,15.0,28.0,0.48,18.0,113.0,55.0,19.0
百色,50.0,33.0,49.0,0.8,9.0,71.0,26.0,17.0
白山,14.0,6.0,13.0,0.45,6.0,25.0,17.0,7.0
白银,45.0,11.0,44.0,0.65,29.0,103.0,65.0,21.0
保山,46.0,32.0,43.0,0.65,17.0,91.0,49.0,8.0
阿克苏地区,59.0,18.0,66.0,0.5,26.0,58.0,55.0,6.0
白城,19.0,6.0,16.0,0.4,5.0,57.0,36.0,6.0
巴中,38.0,22.0,37.0,0.75,17.0,73.0,38.0,5.0
北海,30.0,8.0,29.0,0.53,5.0,49.0,44.0,5.0
北京,35.0,6.0,19.0,0.39,10.0,86.0,68.0,2.0
蚌埠,31.0,4.0,12.0,0.3,10.0,64.0,60.0,9.0
巴彦淖尔,31.0,9.0,23.0,0.57,7.0,96.0,55.0,7.0
保定,45.0,16.0,44.0,0.4,30.0,50.0,29.0,6.0
包头,32.0,4.0,20.0,0.54,5.0,88.0,62.0,6.0
宝鸡,29.0,9.0,25.0,0.26,14.0,92.0,52.0,4.0
沧州,23.0,6.0,8.0,0.37,10.0,58.0,44.0,6.0
阿勒泰地区,30.0,8.0,12.0,0.3,7.0,76.0,58.0,11.0
毕节,52.0,25.0,52.0,0.7,32.0,82.0,35.0,8.0
博州,39.0,11.0,38.0,0.25,18.0,72.0,56.0,7.0
昌都地区,29.0,6.0,12.0,0.7,11.0,86.0,57.0,8.0
昌吉州,48.0,18.0,47.0,0.67,26.0,73.0,45.0,10.0
常熟,40.0,13.0,35.0,0.55,15.0,126.0,76.0,10.0
本溪,18.0,2.0,8.0,0.57,6.0,40.0,35.0,4.0
长治,41.0,21.0,40.0,1.02,16.0,103.0,56.0,22.0
长沙,52.0,25.0,52.0,0.77,18.0,134.0,94.0,6.0
常州,34.0,18.0,33.0,0.67,24.0,90.0,57.0,9.0
常德,36.0,8.0,20.0,0.54,8.0,104.0,71.0,4.0
阿拉善盟,47.0,11.0,24.0,0.33,5.0,106.0,92.0,6.0
亳州,32.0,5.0,7.0,0.4,4.0,75.0,62.0,2.0
朝阳,18.0,9.0,13.0,0.6,6.0,42.0,35.0,8.0
郴州,52.0,20.0,52.0,0.8,18.0,81.0,35.0,17.0
池州,42.0,24.0,41.0,0.63,25.0,110.0,57.0,9.0
昌都,56.0,6.0,59.0,0.8,15.0,65.0,54.0,10.0
长春,19.0,6.0,18.0,0.42,13.0,43.0,20.0,3.0
崇左,16.0,0.0,0.0,0.6,6.0,0.0,30.0,12.0
赤峰,29.0,4.0,14.0,0.43,16.0,51.0,57.0,5.0
安庆,52.0,30.0,51.0,0.66,11.0,118.0,64.0,6.0
重庆,53.0,23.0,54.0,0.89,47.0,110.0,47.0,8.0
成都,72.0,49.0,92.0,0.93,54.0,136.0,63.0,12.0
大同,33.0,5.0,21.0,0.52,7.0,84.0,65.0,9.0
楚雄州,48.0,25.0,47.0,0.75,20.0,87.0,24.0,12.0
滨州,28.0,3.0,27.0,1.05,15.0,39.0,42.0,3.0
大连,36.0,13.0,22.0,0.48,8.0,72.0,70.0,4.0
丹东,21.0,6.0,11.0,0.55,5.0,50.0,40.0,4.0
大兴安岭地区,36.0,12.0,35.0,0.45,6.0,37.0,19.0,4.0
大庆,21.0,14.0,20.0,0.36,6.0,58.0,36.0,3.0
滁州,44.0,16.0,43.0,0.5,8.0,89.0,68.0,7.0
德州,25.0,2.0,5.0,0.37,5.0,57.0,49.0,4.0
潮州,61.0,33.0,69.0,0.7,9.0,92.0,64.0,7.0
定西,34.0,7.0,28.0,0.45,26.0,105.0,32.0,9.0
